"","Brewery_id","Beer_Name","Beer_ID","ABV","IBU","Style","Ounces","Brewery_Name","City","State"
"1919",387,"Rye Porter",710,NA,NA,"American Porter",16,"Revolution Brewing","Paonia"," CO"
"1924",387,"Miner's Gold",219,NA,NA,"American Blonde Ale",12,"Revolution Brewing","Paonia"," CO"
"1951",393,"Santa Fe Oktoberfest",307,NA,NA,"Märzen / Oktoberfest",12,"Santa Fe Brewing Company","Santa Fe"," NM"
"2096",441,"AXL Pale Ale",273,NA,NA,"American Pale Ale (APA)",16,"MillKing It Productions","Royal Oak"," MI"
"2177",468,"Tampa Pale Ale",1096,NA,NA,"American Pale Ale (APA)",12,"Brindle Dog Brewing Company","Tampa Bay"," FL"
"2178",468,"Orange Grove Wheat Ale",1095,NA,NA,"American Pale Wheat Ale",12,"Brindle Dog Brewing Company","Tampa Bay"," FL"
"2184",471,"Pete's Wicked Pale Ale (1997)",1056,NA,NA,"American Pale Ale (APA)",12,"Pete's Brewing Company","San Antonio"," TX"
"2227",485,"Manhattan Gold Lager (1990)",963,NA,NA,"American Amber / Red Lager",12,"The Manhattan Brewing Company","New York"," NY"
"2234",489,"Dock Street Amber Beer (1992)",944,NA,NA,"American Amber / Red Ale",12,"Dock Street Brewery","Philadelphia"," PA"
"2242",492,"Kaleidoscope Collaboration 2012",731,NA,NA,"American Black Ale",16,"Devil's Canyon Brewery","Belmont"," CA"
"2259",498,"THP White (2006)",870,NA,NA,"Witbier",12,"Cans Bar and Canteen","Charlotte"," NC"
"2260",498,"THP Amber (2006)",869,NA,NA,"American Amber / Red Ale",12,"Cans Bar and Canteen","Charlotte"," NC"
"2261",498,"THP Light (2006)",868,NA,NA,"American Blonde Ale",12,"Cans Bar and Canteen","Charlotte"," NC"
"2262",498,"THP Dark (2006)",867,NA,NA,"English Dark Mild Ale",12,"Cans Bar and Canteen","Charlotte"," NC"
"2296",509,"Hopluia (2004)",763,NA,NA,"English India Pale Ale (IPA)",16,"Spilker Ales","Cortland"," NE"
"2345",531,"Roler Bock (Current)",504,NA,NA,"Maibock / Helles Bock",16,"Buckbean Brewing Company","Reno"," NV"
"2351",532,"Dolores River Hefeweizen",524,NA,NA,"Hefeweizen",16,"Dolores River Brewery","Dolores"," CO"
"2352",532,"Dolores River ESB",450,NA,NA,"Extra Special / Strong Bitter (ESB)",16,"Dolores River Brewery","Dolores"," CO"
"2353",532,"Snaggletooth Double Pale Ale",449,NA,NA,"American Double / Imperial IPA",16,"Dolores River Brewery","Dolores"," CO"
"2354",532,"Dolores River Pale Ale",448,NA,NA,"American Pale Ale (APA)",16,"Dolores River Brewery","Dolores"," CO"
"2355",532,"Dolores River Dry Stout",447,NA,NA,"Irish Dry Stout",16,"Dolores River Brewery","Dolores"," CO"
"2356",532,"Dolores River Mild",446,NA,NA,"English Dark Mild Ale",16,"Dolores River Brewery","Dolores"," CO"
"2357",533,"Inclined Plane Ale",520,NA,NA,"American IPA",12,"Flat Rock Brewing Company","Smithton"," PA"
"2365",536,"Great Falls Select Pale Ale",506,NA,NA,"American Blonde Ale",12,"Harvest Moon Brewing Company","Belt"," MT"
"2370",537,"Black Iron India Pale Ale",142,NA,NA,"American IPA",12,"Grand Canyon Brewing Company","Williams"," AZ"
"2394",549,"Ponderosa IPA",335,NA,NA,"American IPA",12,"Prescott Brewing Company","Prescott"," AZ"
"2395",549,"Liquid Amber Ale",64,NA,NA,"American Amber / Red Ale",12,"Prescott Brewing Company","Prescott"," AZ"
